"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",42,42,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",0,42,1392075,4681955
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,42,1392075,4681956
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",42,42,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",0,42,1392076,4681958
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,42,1392076,4681959
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",42,42,1392077,4681960
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",0,42,1392077,4681961
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,42,1392077,4681962
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",42,42,1392078,4681963
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",0,42,1392078,4681964
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",0,42,1392078,4681965
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",42,42,1392079,4681966
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",0,42,1392079,4681967
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,42,1392079,4681968
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",42,42,1392080,4681969
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",0,42,1392080,4681970
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,42,1392080,4681971
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",42,42,1392081,4681972
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","B. Neutral",0,42,1392081,4681973
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","C. Unsatisfied",0,42,1392081,4681974
