"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",136,136,1426065,4784156
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",0,136,1426065,4784157
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,136,1426065,4784158
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",133,135,1426066,4784159
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",2,135,1426066,4784160
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,135,1426066,4784161
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",135,135,1426067,4784162
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",0,135,1426067,4784163
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,135,1426067,4784164
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",135,135,1426068,4784165
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",0,135,1426068,4784166
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",0,135,1426068,4784167
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",135,135,1426069,4784168
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",0,135,1426069,4784169
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,135,1426069,4784170
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",135,135,1426070,4784171
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",0,135,1426070,4784172
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,135,1426070,4784173
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",134,135,1426071,4784174
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","B. Neutral",1,135,1426071,4784175
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","C. Unsatisfied",0,135,1426071,4784176
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","A. Satisfied",134,135,1426072,4784177
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","B. Neutral",1,135,1426072,4784178
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","C. Unsatisfied",0,135,1426072,4784179
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","A. Satisfied",135,135,1426073,4784180
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","B. Neutral",0,135,1426073,4784181
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","C. Unsatisfied",0,135,1426073,4784182
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","A. Satisfied",134,134,1426074,4784183
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","B. Neutral",0,134,1426074,4784184
"Facility Management - Occupant Survey:  Lulu Express – Lusail ","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","C. Unsatisfied",0,134,1426074,4784185
