"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","A. Satisfied",127,127,1426041,4784086
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","B. Neutral",0,127,1426041,4784087
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","C. Unsatisfied",0,127,1426041,4784088
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","A. Satisfied",125,126,1426042,4784089
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","B. Neutral",1,126,1426042,4784090
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","C. Unsatisfied",0,126,1426042,4784091
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","A. Satisfied",125,126,1426043,4784092
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","B. Neutral",1,126,1426043,4784093
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","C. Unsatisfied",0,126,1426043,4784094
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","A. Satisfied",125,126,1426044,4784095
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","B. Neutral",1,126,1426044,4784096
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","C. Unsatisfied",0,126,1426044,4784097
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","A. Satisfied",125,125,1426045,4784098
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","B. Neutral",0,125,1426045,4784099
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","C. Unsatisfied",0,125,1426045,4784100
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","A. Satisfied",123,124,1426046,4784101
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","B. Neutral",1,124,1426046,4784102
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","C. Unsatisfied",0,124,1426046,4784103
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","A. Satisfied",124,124,1426047,4784104
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","B. Neutral",0,124,1426047,4784105
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","C. Unsatisfied",0,124,1426047,4784106
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","A. Satisfied",122,124,1426048,4784107
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","B. Neutral",2,124,1426048,4784108
"Indoor Environment - Occupant Survey: Lulu Express – Lusail ","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","C. Unsatisfied",0,124,1426048,4784109
