"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",51,51,1416402,4753679
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",0,51,1416402,4753680
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,51,1416402,4753681
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",49,49,1416403,4753682
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",0,49,1416403,4753683
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,49,1416403,4753684
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",49,49,1416404,4753685
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",0,49,1416404,4753686
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,49,1416404,4753687
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",49,49,1416405,4753688
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",0,49,1416405,4753689
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",0,49,1416405,4753690
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",49,49,1416406,4753691
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",0,49,1416406,4753692
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,49,1416406,4753693
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",49,49,1416407,4753694
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",0,49,1416407,4753695
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,49,1416407,4753696
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",49,49,1416408,4753697
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","B. Neutral",0,49,1416408,4753698
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","C. Unsatisfied",0,49,1416408,4753699
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","A. Satisfied",48,49,1416409,4753700
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","B. Neutral",1,49,1416409,4753701
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","C. Unsatisfied",0,49,1416409,4753702
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","A. Satisfied",49,49,1416410,4753703
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","B. Neutral",0,49,1416410,4753704
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","C. Unsatisfied",0,49,1416410,4753705
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","A. Satisfied",46,47,1416411,4753706
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","B. Neutral",1,47,1416411,4753707
"Facility Management - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1)","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","C. Unsatisfied",0,47,1416411,4753708
