Title,Type,Question_Text,Question_Label,Answer_Text,Number_Times_Answer_Selected,Number_Times_Question_Answered,Question_ID,Answer_ID
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>",Thermal Comfort 1,A. Satisfied,41,42,1416412,4753709
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>",Thermal Comfort 1,B. Neutral,1,42,1416412,4753710
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>",Thermal Comfort 1,C. Unsatisfied,0,42,1416412,4753711
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>",Thermal Comfort 2,A. Satisfied,41,42,1416413,4753712
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>",Thermal Comfort 2,B. Neutral,1,42,1416413,4753713
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>",Thermal Comfort 2,C. Unsatisfied,0,42,1416413,4753714
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>",Thermal Comfort 3,A. Satisfied,40,41,1416414,4753715
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>",Thermal Comfort 3,B. Neutral,1,41,1416414,4753716
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>",Thermal Comfort 3,C. Unsatisfied,0,41,1416414,4753717
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>",Thermal Comfort 4,A. Satisfied,39,41,1416415,4753718
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>",Thermal Comfort 4,B. Neutral,2,41,1416415,4753719
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>",Thermal Comfort 4,C. Unsatisfied,0,41,1416415,4753720
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>",Thermal Comfort 5,A. Satisfied,41,41,1416416,4753721
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>",Thermal Comfort 5,B. Neutral,0,41,1416416,4753722
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>",Thermal Comfort 5,C. Unsatisfied,0,41,1416416,4753723
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>",Air Quality 1,A. Satisfied,39,41,1416417,4753724
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>",Air Quality 1,B. Neutral,1,41,1416417,4753725
Indoor Environment - Occupant Survey: QF-Headquarter (QFHQ) 2015 Building (RC-1),Survey,"<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>",Air Quality 1,C. Unsatisfied,1,41,1416417,4753726
