"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",26,33,1398718,4700548
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",7,33,1398718,4700549
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,33,1398718,4700550
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",26,33,1398719,4700551
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",7,33,1398719,4700552
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,33,1398719,4700553
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",29,33,1398720,4700554
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",4,33,1398720,4700555
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,33,1398720,4700556
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",27,33,1398721,4700557
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",6,33,1398721,4700558
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",0,33,1398721,4700559
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",26,33,1398722,4700560
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",7,33,1398722,4700561
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,33,1398722,4700562
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",30,33,1398723,4700563
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",3,33,1398723,4700564
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,33,1398723,4700565
"Facility Management - Occupant Survey:  AQ-01-UDC Tower’ at Pearl Qatar","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",28,33,1398724,4700566
