"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","A. Satisfied",21,36,1398728,4700578
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","B. Neutral",12,36,1398728,4700579
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","C. Unsatisfied",3,36,1398728,4700580
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","A. Satisfied",17,36,1398729,4700581
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","B. Neutral",13,36,1398729,4700582
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","C. Unsatisfied",6,36,1398729,4700583
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","A. Satisfied",19,35,1398730,4700584
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","B. Neutral",10,35,1398730,4700585
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","C. Unsatisfied",6,35,1398730,4700586
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","A. Satisfied",25,35,1398731,4700587
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","B. Neutral",9,35,1398731,4700588
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","C. Unsatisfied",1,35,1398731,4700589
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","A. Satisfied",17,35,1398732,4700590
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","B. Neutral",13,35,1398732,4700591
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","C. Unsatisfied",5,35,1398732,4700592
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","A. Satisfied",22,34,1398733,4700593
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","B. Neutral",10,34,1398733,4700594
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","C. Unsatisfied",2,34,1398733,4700595
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","A. Satisfied",23,34,1398734,4700596
"Indoor Environment - Occupant Survey: AQ-01-UDC Tower’ at Pearl Qatar","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","B. Neutral",9,34,1398734,4700597
