"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",89,92,1416134,4752994
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",3,92,1416134,4752995
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,92,1416134,4752996
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",84,90,1416135,4752997
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",6,90,1416135,4752998
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,90,1416135,4752999
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",84,89,1416136,4753000
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",5,89,1416136,4753001
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,89,1416136,4753002
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",80,89,1416137,4753003
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",9,89,1416137,4753004
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",0,89,1416137,4753005
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",83,89,1416138,4753006
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",6,89,1416138,4753007
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,89,1416138,4753008
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",81,88,1416139,4753009
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",7,88,1416139,4753010
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,88,1416139,4753011
"Facility Management - Occupant Survey:  Lulu Center - Al Sadd","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",78,88,1416140,4753012
