"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","A. Satisfied",30,34,1416100,4752904
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","B. Neutral",3,34,1416100,4752905
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","C. Unsatisfied",1,34,1416100,4752906
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","A. Satisfied",32,34,1416101,4752907
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","B. Neutral",0,34,1416101,4752908
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","C. Unsatisfied",2,34,1416101,4752909
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","A. Satisfied",31,33,1416102,4752910
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","B. Neutral",1,33,1416102,4752911
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","C. Unsatisfied",1,33,1416102,4752912
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","A. Satisfied",31,32,1416103,4752913
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","B. Neutral",0,32,1416103,4752914
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","C. Unsatisfied",1,32,1416103,4752915
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","A. Satisfied",31,32,1416104,4752916
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","B. Neutral",0,32,1416104,4752917
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","C. Unsatisfied",1,32,1416104,4752918
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Have you experienced any health issues in relation to thermal discomfort (fatigue, tiredness, irritation, flu, … etc.)?</span></p>","Thermal Comfort 6","A. No",31,32,1416105,4752919
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Have you experienced any health issues in relation to thermal discomfort (fatigue, tiredness, irritation, flu, … etc.)?</span></p>","Thermal Comfort 6","B. Yes",1,32,1416105,4752920
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the thermal discomfort has affected your productivity?&nbsp;</span></p>","Thermal Comfort 7","A. No",31,32,1416127,4752980
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the thermal discomfort has affected your productivity?&nbsp;</span></p>","Thermal Comfort 7","B. Yes",1,32,1416127,4752981
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","A. Satisfied",31,32,1416106,4752921
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","B. Neutral",1,32,1416106,4752922
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","C. Unsatisfied",0,32,1416106,4752923
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","A. Satisfied",31,32,1416107,4752924
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","B. Neutral",0,32,1416107,4752925
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","C. Unsatisfied",1,32,1416107,4752926
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","A. Satisfied",31,32,1416108,4752927
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","B. Neutral",0,32,1416108,4752928
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","C. Unsatisfied",1,32,1416108,4752929
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","A. Satisfied",31,32,1416109,4752930
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","B. Neutral",0,32,1416109,4752931
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","C. Unsatisfied",1,32,1416109,4752932
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint, coatings, chemicals… etc.)?</span></p>","Air Quality 5","A. Satisfied",31,32,1416110,4752933
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint, coatings, chemicals… etc.)?</span></p>","Air Quality 5","B. Neutral",1,32,1416110,4752934
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint, coatings, chemicals… etc.)?</span></p>","Air Quality 5","C. Unsatisfied",0,32,1416110,4752935
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Have you experienced any health issues in relation to poor air quality (respiratory infections, difficulty in breathing, eye irritation, asthma, nausea, … etc.)?</span></p>","Air Quality 6","A. No",30,31,1416132,4752990
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Have you experienced any health issues in relation to poor air quality (respiratory infections, difficulty in breathing, eye irritation, asthma, nausea, … etc.)?</span></p>","Air Quality 6","B. Yes",1,31,1416132,4752991
"Indoor Environment - Occupant Survey:  Lulu Center - Al Sadd","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the poor air quality has affected your productivity?&nbsp;</span></p>","Air Quality 7","A. No",30,31,1416111,4752936
